n;duree;v
1;9853;352.18
2;9934;349.31
3;9901;350.47
4;9933;349.34
5;9902;350.43
6;9901;350.47
7;9928;349.52
8;9928;349.52
9;9955;348.57
10;9928;349.52
11;9934;349.31
12;9928;349.52
13;9928;349.52
14;9933;349.34
15;9927;349.55
16;9980;347.70
17;9928;349.52
18;9929;349.48
19;9934;349.31
20;9954;348.60
21;9901;350.47
22;9928;349.52
23;9954;348.60
24;9934;349.31
25;9955;348.57
26;9928;349.52
27;9934;349.31
28;9929;349.48
29;9956;348.53
30;9954;348.60
31;9904;350.36
32;9936;349.24
33;9981;347.66
34;9981;347.66
35;9904;350.36
36;9930;349.45
37;9960;348.39
38;9955;348.57
39;9904;350.36
40;9961;348.36
41;9930;349.45
42;9928;349.52
43;9955;348.57
44;9928;349.52
45;10010;346.65
46;9929;349.48
47;9929;349.48
48;9934;349.31
49;9929;349.48
50;9929;349.48
51;9902;350.43
52;9902;350.43
53;9935;349.27
54;9928;349.52
55;9927;349.55
56;9954;348.60
57;9954;348.60
58;9934;349.31
59;9979;347.73
60;9927;349.55
61;9907;350.26
62;9928;349.52
63;9960;348.39
64;9928;349.52
65;10029;346.00
66;9979;347.73
67;9901;350.47
68;9928;349.52
69;9908;350.22
70;9901;350.47
71;9979;347.73
72;9979;347.73
73;9952;348.67
74;9931;349.41
75;9901;350.47
76;9953;348.64
77;9902;350.43
78;9953;348.64
79;9907;350.26
80;9952;348.67
81;9926;349.59
82;9931;349.41
83;9952;348.67
84;9952;348.67
85;9925;349.62
86;9926;349.59
87;9931;349.41
88;9925;349.62
89;9952;348.67
90;9952;348.67
91;9898;350.58
92;9931;349.41
93;9899;350.54
94;9925;349.62
95;9925;349.62
96;9926;349.59
97;9958;348.46
98;9926;349.59
99;9926;349.59
100;9926;349.59

