Pointages AviMéca
t	x	y
(s)	(m)	(m)
0,000	4,18E-1	7,54E-1
0,033	4,85E-1	8,88E-1
0,067	5,52E-1	9,85E-1
0,100	6,12E-1	1,09E+0
0,133	6,79E-1	1,19E+0
0,167	7,54E-1	1,27E+0
0,200	8,21E-1	1,35E+0
0,233	8,95E-1	1,40E+0
0,267	9,63E-1	1,45E+0
0,300	1,04E+0	1,49E+0
0,333	1,10E+0	1,52E+0
0,367	1,16E+0	1,54E+0
0,400	1,25E+0	1,54E+0
0,433	1,31E+0	1,55E+0
0,467	1,37E+0	1,54E+0
0,500	1,44E+0	1,52E+0
0,533	1,51E+0	1,48E+0
0,567	1,57E+0	1,42E+0
0,600	1,66E+0	1,37E+0
0,633	1,71E+0	1,30E+0
0,667	1,79E+0	1,22E+0
0,700	1,86E+0	1,13E+0
0,733	1,91E+0	1,01E+0
0,767	1,99E+0	9,33E-1
0,800	2,04E+0	8,13E-1
0,833	2,10E+0	6,87E-1
0,867	2,14E+0	5,45E-1
0,900	2,19E+0	4,03E-1
0,933	2,24E+0	2,69E-1
0,967	2,27E+0	1,27E-1
